id,account_id,email,strategy_profile,instrument,direction,amount,entry_time,exit_time,result,profit,payout_ratio,selected_strategy,confidence
41,evaluation_account,evaluation@kael.local,ultimate_evaluator,NZDUSD-OTC,PUT,1.00,2025-10-31 08:54:50.920706,,,,0.8700,support_resistance,75
39,evaluation_account,evaluation@kael.local,ultimate_evaluator,NZDUSD-OTC,CALL,1.00,2025-10-31 08:09:51.134224,,,,0.8700,trend_alignment,75
40,evaluation_account,evaluation@kael.local,ultimate_evaluator,EURGBP-OTC,PUT,1.00,2025-10-31 08:09:51.124467,,,,0.8700,rsi_divergence,80
38,evaluation_account,evaluation@kael.local,ultimate_evaluator,USDCAD-OTC,CALL,1.00,2025-10-30 16:36:21.940066,,,,0.8500,support_resistance,70
37,evaluation_account,evaluation@kael.local,ultimate_evaluator,GBPUSD-OTC,PUT,1.00,2025-10-30 16:35:40.201178,,,,0.8700,enhanced_candle_count,78
36,evaluation_account,evaluation@kael.local,ultimate_evaluator,USDJPY-OTC,PUT,1.00,2025-10-30 16:35:40.199408,,,,0.8600,macd_momentum,75
35,evaluation_account,evaluation@kael.local,ultimate_evaluator,EURUSD-OTC,CALL,1.00,2025-10-30 15:59:15.069725,,,,0.8700,trend_alignment,75
34,evaluation_account,evaluation@kael.local,ultimate_evaluator,GBPUSD-OTC,PUT,1.00,2025-10-30 15:58:59.485387,,,,0.8700,stochastic,80
33,evaluation_account,evaluation@kael.local,ultimate_evaluator,EURGBP-OTC,PUT,1.00,2025-10-30 15:58:59.484961,,,,0.8700,enhanced_candle_count,78
31,evaluation_account,evaluation@kael.local,ultimate_evaluator,EURJPY-OTC,PUT,1.00,2025-10-30 15:58:10.137058,,,,0.8700,macd_momentum,70
32,evaluation_account,evaluation@kael.local,ultimate_evaluator,AUDUSD-OTC,PUT,1.00,2025-10-30 15:58:10.136689,,,,0.8500,support_resistance,70
30,evaluation_account,evaluation@kael.local,ultimate_evaluator,EURGBP-OTC,CALL,1.00,2025-10-30 14:34:20.882886,,,,0.8700,support_resistance,70
29,evaluation_account,evaluation@kael.local,ultimate_evaluator,EURGBP-OTC,PUT,1.00,2025-10-30 09:28:40.355769,,,,0.8700,rsi_divergence,80
28,evaluation_account,evaluation@kael.local,ultimate_evaluator,GBPJPY-OTC,PUT,1.00,2025-10-30 09:28:40.355514,,,,0.8600,stochastic,80
27,evaluation_account,evaluation@kael.local,ultimate_evaluator,GBPUSD-OTC,PUT,1.00,2025-10-30 09:28:08.655906,,,,0.8700,trend_alignment,75
26,evaluation_account,evaluation@kael.local,ultimate_evaluator,AUDUSD-OTC,CALL,1.00,2025-10-30 08:29:00.100520,,,,0.8500,trend_alignment,75
25,evaluation_account,evaluation@kael.local,ultimate_evaluator,USDJPY-OTC,CALL,1.00,2025-10-30 08:29:00.100176,,,,0.8600,macd_momentum,70
24,evaluation_account,evaluation@kael.local,ultimate_evaluator,EURJPY-OTC,CALL,1.00,2025-10-30 08:28:23.731171,,,,0.8700,enhanced_candle_count,86
23,evaluation_account,evaluation@kael.local,ultimate_evaluator,GBPUSD-OTC,CALL,1.00,2025-10-30 08:28:06.425275,,,,0.8700,support_resistance,70
22,evaluation_account,evaluation@kael.local,ultimate_evaluator,EURGBP-OTC,CALL,1.00,2025-10-30 08:23:45.825831,,,,0.8700,macd_momentum,70
21,evaluation_account,evaluation@kael.local,ultimate_evaluator,USDJPY-OTC,PUT,1.00,2025-10-30 08:22:46.448094,,,,0.8600,support_resistance,70
20,evaluation_account,evaluation@kael.local,ultimate_evaluator,USDJPY-OTC,PUT,1.00,2025-10-30 08:22:46.396160,,,,0.8600,enhanced_candle_count,82
19,evaluation_account,evaluation@kael.local,ultimate_evaluator,AUDUSD-OTC,PUT,1.00,2025-10-30 08:12:31.760626,,,,0.8500,trend_alignment,75
18,evaluation_account,evaluation@kael.local,ultimate_evaluator,AUDUSD-OTC,PUT,1.00,2025-10-30 07:59:56.375757,,,,0.8500,stochastic,80
17,evaluation_account,evaluation@kael.local,ultimate_evaluator,GBPUSD-OTC,CALL,1.00,2025-10-30 07:59:11.348872,,,,0.8700,macd_momentum,70
16,evaluation_account,evaluation@kael.local,ultimate_evaluator,AUDUSD-OTC,CALL,1.00,2025-10-30 07:59:11.328228,,,,0.8500,enhanced_candle_count,78
15,evaluation_account,evaluation@kael.local,ultimate_evaluator,EURUSD-OTC,PUT,1.00,2025-10-30 07:59:03.664824,,,,0.8700,trend_alignment,75
14,evaluation_account,evaluation@kael.local,ultimate_evaluator,EURUSD-OTC,PUT,1.00,2025-10-30 07:59:03.654541,,,,0.8700,support_resistance,70
13,evaluation_account,evaluation@kael.local,ultimate_evaluator,GBPUSD-OTC,CALL,1.00,2025-10-29 12:22:39.389477,,,,0.8700,bollinger_rsi_combo,90
12,evaluation_account,evaluation@kael.local,ultimate_evaluator,GBPUSD-OTC,CALL,1.00,2025-10-29 12:22:26.992016,,,,0.8700,rsi_divergence,85
11,evaluation_account,evaluation@kael.local,ultimate_evaluator,GBPJPY-OTC,CALL,1.00,2025-10-29 12:22:10.896693,,,,0.8600,stochastic,80
8,evaluation_account,evaluation@kael.local,ultimate_evaluator,EURUSD-OTC,PUT,1.00,2025-10-29 12:21:57.709015,,,,0.8700,enhanced_candle_count,80
9,evaluation_account,evaluation@kael.local,ultimate_evaluator,EURUSD-OTC,CALL,1.00,2025-10-29 12:21:57.699166,,,,0.8700,support_resistance,75
10,evaluation_account,evaluation@kael.local,ultimate_evaluator,GBPUSD-OTC,PUT,1.00,2025-10-29 12:21:57.698702,,,,0.8700,trend_alignment,75
7,evaluation_account,evaluation@kael.local,ultimate_evaluator,GBPUSD-OTC,PUT,1.00,2025-10-29 12:21:57.688534,,,,0.8700,macd_momentum,70
6,evaluation_account,evaluation@kael.local,ultimate_evaluator,GBPJPY-OTC,CALL,1.00,2025-10-29 11:31:05.803421,,,,0.8600,bollinger_rsi_combo,90
5,evaluation_account,evaluation@kael.local,ultimate_evaluator,EURGBP-OTC,CALL,1.00,2025-10-29 11:30:19.344364,,,,0.8700,rsi_divergence,85
4,evaluation_account,evaluation@kael.local,ultimate_evaluator,GBPJPY-OTC,PUT,1.00,2025-10-29 11:30:17.451498,,,,0.8600,macd_momentum,70
2,evaluation_account,evaluation@kael.local,ultimate_evaluator,GBPUSD-OTC,PUT,1.00,2025-10-29 11:30:08.170889,,,,0.8700,trend_alignment,75
3,evaluation_account,evaluation@kael.local,ultimate_evaluator,EURUSD-OTC,CALL,1.00,2025-10-29 11:30:08.160962,,,,0.8700,support_resistance,70
1,evaluation_account,evaluation@kael.local,ultimate_evaluator,EURUSD-OTC,PUT,1.00,2025-10-29 11:30:08.160559,,,,0.8700,enhanced_candle_count,85
